TheHiddenWorId||883500805021614081||Pireus Lion: ancient greek sculpture with viking runic inscriptions made in 11th century https://t.co/15S4r5D1Pd||https://pbs.twimg.com/media/DEJ3oWCVoAESeEO.jpg||
TheHiddenWorId||883477385722580992||Cane handle containing a lock of George Washington's hair https://t.co/VBPmY0q6MO||https://pbs.twimg.com/media/DEEuAWwXoAAs1_m.jpg||
TheHiddenWorId||883115877780017152||Hafted axe with dragons. ca. 1300-1200 B.C.E. Unidentified, Chinese Late Shang dynasty Early Anyang period https://t.co/gg2SSLS1Jy||https://pbs.twimg.com/media/DD_kbGxXcAE_p2I.jpg||
TheHiddenWorId||882799246637842432||Famous Roman helmets from 4th century AD, and are considered to be some of the most beautiful Roman helmets ever fo… https://t.co/thel4fDUxp||||
TheHiddenWorId||882399402890899456||Little-known back side of the very well-known Tutankhamun's mask, 1323 BC https://t.co/FEWdk9qm8N||https://pbs.twimg.com/media/DD6a01XXUAADOAv.jpg||
TheHiddenWorId||882030679575244800||A rapier dated 1560, made by Daniele der Serravalle https://t.co/715jWOMqGg||https://pbs.twimg.com/media/DD1RPNCXgAAgPG0.jpg||
TheHiddenWorId||881673045932294144||From Mill Hill, Grave 112, Deal, Kent, England https://t.co/1YhbWeWShV||https://pbs.twimg.com/media/DDwHpb_WsAEcHO_.jpg||
TheHiddenWorId||881318822069719044||Roman glass bowl presenting roman marriage with inscription: "Honey, I hope you live forever." Dated back to IV AD. https://t.co/dBeG5CDQNc||https://pbs.twimg.com/media/DDq-DqnXsAAftn6.jpg||
TheHiddenWorId||880937263013568512||Helmet (kawari kabuto), Japan late 16th c. https://t.co/54j1fboBeA||https://pbs.twimg.com/media/DDbhSdyWAAAP8O2.jpg||
TheHiddenWorId||880585870616576000||Chinese sword with gold hilt. Spring and Autumn period (770–476 BC), found in Shaanxi https://t.co/R9aqmAgvuz||https://pbs.twimg.com/media/DDgq4TEWAAEBXWZ.jpg||
TheHiddenWorId||879863878665945088||Bronze portrait of a philosopher recovered from the Antikythera shipwreck (crafted circa 240 BC) https://t.co/9cp5k8AjYG||https://pbs.twimg.com/media/DDWXy5SXgAAwvnQ.jpg||
TheHiddenWorId||879523756401582081||End of Charles Darwin's walking stick https://t.co/kXgR0vHejr||https://pbs.twimg.com/media/DDMEhbwXcAAWM8w.jpg||
TheHiddenWorId||878776175245508608||“Devil’s Work” ball with fourteen movable balls made of one piece of ivory. Canton, China, 19th century, Qing dynas… https://t.co/rbzsbvGK9L||||
TheHiddenWorId||878419074081898498||The captured eagles of Waterloo https://t.co/iXd5oI43WY||https://pbs.twimg.com/media/DDBxVvaUQAEMfH0.jpg||
TheHiddenWorId||878041048647217152||Part of the Roman earring with portraits of emperors. Dating probably to III-IV century A.D. https://t.co/QiK0wj6moP||https://pbs.twimg.com/media/DC8nwA_WAAEMMHX.jpg||
TheHiddenWorId||877686013178531840||Roman multi-tool knife (iron blade, spoon, fork, retractable spike, spatula and small tooth-pick.) - ca. 200AD https://t.co/gzV7XnoxRj||https://pbs.twimg.com/media/DC3eLqGXcAIFGYm.jpg||
TheHiddenWorId||876991056025337856||Tutankhamun's board game: Senet. 1333 BC, Egypt https://t.co/2QKOzvwt4B||https://pbs.twimg.com/media/DCuvYjVUIAAwJja.jpg||
TheHiddenWorId||876596146776428545||A trail of footprints probably left by Australopithecus afarensis  individuals some 3.5 million years ago, at Laeto… https://t.co/vUFThNgm4c||||
TheHiddenWorId||875895905056022528||Ancient Roman lead pipes in Bath, England. Some of them are still in use. I-II century CE https://t.co/QjzL3ggMp2||https://pbs.twimg.com/media/DCfOXNYUwAQveZo.jpg||
TheHiddenWorId||874797512351035392||2000 year old Egyptian 20 sided die with Greek characters. 2nd century B.C.–4th century A.D. https://t.co/6ALCCqtmGA||https://pbs.twimg.com/media/C4fW0BaWIAAbYQb.jpg||
TheHiddenWorId||874434777486458880||Mamluk axe, 15th-16th century https://t.co/bCarkYffKn||https://pbs.twimg.com/media/DCJH4DVXsAAkvl4.jpg||
TheHiddenWorId||874053910637363200||16th century French encryption book from the court of Henri II https://t.co/aeATYrnuMp||https://pbs.twimg.com/media/DCD-R12XYAI5ase.jpg||
TheHiddenWorId||873953280295968768||A page from The Book of Kells, a Latin illuminated manuscript widely considered Ireland's finest national treasure,… https://t.co/sHzWcd7Jg1||||
