id,que,twi_id,retwi,fav,desc,imgurl
1382,rafaelzabaleta,914677443436466176,7,0,RT @SputnikMundo: EEUU y Dinamarca realizarán un vuelo de vigilancia sobre Rusia https://t.co/UYqMsVnJAW,
1383,rafaelzabaleta,914676465530220545,4048,0,RT @interiorgob: 1-La @guardiacivil desactiva el censo universal. Ahora mismo una misma persona puede votar varias veces en distintos coleg…,
1384,rafaelzabaleta,914676454264377344,1648,0,"RT @interiorgob: @guardiacivil 2-Con censo caído, cualquier voto,independientemente de procedencia o lugar de residencia de la persona,serí…",
1385,rafaelzabaleta,914676424723877889,3597,0,RT @zoidoJI: La @policia retira urnas para hacer cumplir el mandato judicial y la legalidad ante el referéndum ilegal. #EstamosporTI https:…,
1386,rafaelzabaleta,914676299972608000,5071,0,RT @policia: Agentes intervienen urnas y papeletas en distintos colegios de #Barcelona. Cumplimos la legalidad  #EstamosporTI https://t.co/…,
1387,rafaelzabaleta,914676270214066178,8922,0,"RT @zoidoJI: Proporcionalidad y profesionalidad. Así actúan la @guardiacivil y la @policia, como este agente dialogando con un padre. #Esta…",
1388,rafaelzabaleta,914676163548712961,2894,0,"RT @policia: Hasta ahora 3 detenidos por @policia: 1 en Lleida por resistencia y 2 en Girona, uno menor de edad por atentado (1 policía her…",
1389,rafaelzabaleta,914676141998342145,11271,0,"RT @policia: A pesar de las provocaciones, insultos o agresiones, nuestra misión es proteger la legalidad y velar por el Estado de Derecho.…",
1390,rafaelzabaleta,914676100160212992,10600,0,"RT @policia: Defenderemos la legalidad, con proporcionalidad, congruencia y oportunidad...A pesar de intentos de provocación y manipulación…",
1391,rafaelzabaleta,914676076785389571,1648,0,RT @policia: https://t.co/HBbPm7MDyQ,
1392,rafaelzabaleta,914675352986951682,5812,0,"RT @interiorgob: Cumpliendo la orden judicial, la @guardiacivil se ha encontrado con acoso y agresiones, como esta en Sant Joan de Vilatorr…",
1393,rafaelzabaleta,914675321567367168,2534,0,RT @interiorgob: 1-Un total de 19 @policia y 14 @guardiacivil han requerido atención médica inmediata a raíz de su trabajo hoy en los coleg…,
1394,rafaelzabaleta,914675300608421890,1245,0,RT @interiorgob: @policia @guardiacivil 2- aunque son innumerables los agentes que han sido heridos y han continuado trabajando para requis…,
1395,rafaelzabaleta,914532813642305537,0,0,A Kiss #arthistory #rafaelzabaleta https://t.co/rS3lKhOHSQ,https://pbs.twimg.com/media/DLESv0WWkAEeG3D.jpg
1396,rafaelzabaleta,913812926200532992,0,0,Self-portrait https://t.co/AOM3t7a6Dc #rafaelzabaleta #fineart https://t.co/qBz50pYlp8,https://pbs.twimg.com/media/DK6EA06X0AEgTL_.jpg
1397,rafaelzabaleta,913796229938675713,0,1,#zabaleta #rafaelzabaleta https://t.co/6ynoeMMnbO,https://pbs.twimg.com/media/DK500QRUMAAJNmb.jpg
1398,rafaelzabaleta,913418801030598657,0,0,Rafael Zabaleta @artistzabaleta #rafaelzabaleta #fineart https://t.co/Hr0yVtwhhP,https://pbs.twimg.com/media/DK0djdXU8AIFBbv.jpg
1399,rafaelzabaleta,913379516961128448,13,0,RT @UGTMadrid: @FesmcUGTMadrid y ccoo solicitan reunión @ManuelaCarmena para reactivar los convenios de Hosteleria y hospedaje https://t.co…,
1400,rafaelzabaleta,913152694499598336,0,0,Dónde están los sindicatos La Firma de Charo Bueno: https://t.co/MFKqCYXk89 vía @YouTube,
1401,rafaelzabaleta,912804218817466368,2,0,RT @artistgleizes: Rafael Zabaleta @artistzabaleta #zabaleta #rafaelzabaleta https://t.co/H0ru7FkPIy,https://pbs.twimg.com/media/DKg7jbrUMAAyxAc.jpg
1402,rafaelzabaleta,912791783884587009,6,0,RT @artistzabaleta: Tiscar rosemary #expressionism #rafaelzabaleta https://t.co/DT7SMokUOi,https://pbs.twimg.com/media/DKLlVkAWsAELFCT.jpg
1403,rafaelzabaleta,912778796528537605,2,0,RT @artistgleizes: Rafael Zabaleta @artistzabaleta #zabaleta #rafaelzabaleta https://t.co/H0ru7FkPIy,https://pbs.twimg.com/media/DKg7jbrUMAAyxAc.jpg
1404,rafaelzabaleta,912742612846759936,0,0,Boy sitting with a hen on his lap https://t.co/zb8y3q2TzE #arthistory #rafaelzabaleta https://t.co/bcvkYkYUh8,https://pbs.twimg.com/media/DKq2kWSXUAEqHaw.jpg
1405,rafaelzabaleta,912044582120157184,6,0,RT @artistzabaleta: Tiscar rosemary #expressionism #rafaelzabaleta https://t.co/DT7SMokUOi,https://pbs.twimg.com/media/DKLlVkAWsAELFCT.jpg
1406,rafaelzabaleta,912044414301810689,2,1,Rafael Zabaleta @artistzabaleta #zabaleta #rafaelzabaleta https://t.co/H0ru7FkPIy,https://pbs.twimg.com/media/DKg7jbrUMAAyxAc.jpg
1407,rafaelzabaleta,912043843012448256,6,0,RT @artistzabaleta: Tiscar rosemary #expressionism #rafaelzabaleta https://t.co/DT7SMokUOi,https://pbs.twimg.com/media/DKLlVkAWsAELFCT.jpg
1408,rafaelzabaleta,911965920934981633,1,0,RT @artistlecor: Rafael Zabaleta @artistzabaleta #arthistory #rafaelzabaleta https://t.co/DygZMU7i98,https://pbs.twimg.com/media/DKbb8i7XcAAz-e6.jpg
1409,renemagritte,913143934980894721,8,0,RT @artistmagritte: Early morning #renemagritte #fineart https://t.co/FjkatBhfwU,https://pbs.twimg.com/media/DKr5KrRW4AAF5fX.jpg
1410,renemagritte,913135271444713472,3,0,RT @artistmagritte: A famous man #renemagritte #arthistory https://t.co/lLHNXgI3f0,https://pbs.twimg.com/media/DKwYjrAWkAAFupt.jpg
1411,renemagritte,913131827862343680,3,6,A famous man #renemagritte #arthistory https://t.co/lLHNXgI3f0,https://pbs.twimg.com/media/DKwYjrAWkAAFupt.jpg
1412,renemagritte,913127744053051398,8,13,The False Mirror 1928 #ReneMagritte #EyeHealthMatters https://t.co/1GpA7NYyev,https://pbs.twimg.com/media/DKwU1wrWsAAdUjs.jpg
1413,renemagritte,913106229299486728,5,0,RT @artistmagritte: The silver gap #renemagritte #arthistory https://t.co/sTeqHz9lue,https://pbs.twimg.com/media/DKv9xE9XoAYcN46.jpg
1414,renemagritte,913105671826132992,4,0,RT @artistmagritte: The reckless sleeper #renemagritte #fineart https://t.co/USOpaoRqTa,https://pbs.twimg.com/media/DKvYJEXW0AAbd6p.jpg
1415,renemagritte,913103555153862663,5,0,RT @artistmagritte: The silver gap #renemagritte #arthistory https://t.co/sTeqHz9lue,https://pbs.twimg.com/media/DKv9xE9XoAYcN46.jpg
1416,renemagritte,913102371424804872,5,6,The silver gap #renemagritte #arthistory https://t.co/sTeqHz9lue,https://pbs.twimg.com/media/DKv9xE9XoAYcN46.jpg
