id,twi_acc,twi_id,retwi,fav,desc,url
282,amazingnature33,909235208234328064,10,20,"Ama Dablam from Dzonglha, Nepal https://t.co/mPOqFNJdeq",https://pbs.twimg.com/media/DJ3preuXUAINVem.jpg
283,amazingnature33,909189656264298496,6,17,"Timpanooke Stream, Utah https://t.co/KEm07HkBCB",https://pbs.twimg.com/media/DJ3pk8xXkAEbc0z.jpg
284,amazingnature33,909139445684809731,19,46,Norway Lakes https://t.co/x3lEdEaCYx,https://pbs.twimg.com/media/DJ3pfZUXUAAbBo0.jpg
285,amazingnature33,909047972834328576,47,89,Mountain cabin https://t.co/KkXHopXSLy,https://pbs.twimg.com/media/DJzD4uoX0AAICBs.jpg
286,amazingnature33,909002675076849664,10,16,"Lynn Canyon, North Vancouver, Canada https://t.co/h6zeWVTpYp",https://pbs.twimg.com/media/DJzDzmdX0AAlEBl.jpg
287,amazingnature33,908957127779028992,18,37,"Sunset in Granada, Spain https://t.co/wltkDGhNhz",https://pbs.twimg.com/media/DJzDugyXkAAHI9j.jpg
288,amazingnature33,908911825063833600,10,24,"Winter Sunset, Falun, Sweden https://t.co/d4p3oRi9Ur",https://pbs.twimg.com/media/DJzDnLeWsAAtepY.jpg
289,amazingnature33,908866527096709121,6,23,"Cold Source, Buçaco Forest, Portugal https://t.co/3hMd6eLQVF",https://pbs.twimg.com/media/DJzDh7bW4AEaYhB.jpg
290,amazingnature33,908816119124897792,15,29,"Rock pool at sunset in County Sligo, Ireland https://t.co/fGQ8VNWrtZ",https://pbs.twimg.com/media/DJzDbDwW0AARSeh.jpg
291,amazingnature33,908491808111394816,14,30,"Turbulent skies over The Pyrenees, Spain https://t.co/HzrYApOIpB",https://pbs.twimg.com/media/DJt8itLWAAcgaj9.jpg
292,amazingnature33,908456576817750016,15,32,"Lake Oeschinen, Switzerland https://t.co/cMe92TW0P1",https://pbs.twimg.com/media/DJt8bVLW4AIZAdk.jpg
293,amazingnature33,908364219262935040,22,70,"Beautiful Wave, Hawaii https://t.co/z1tTbxe3DT",https://pbs.twimg.com/media/DJos2bXW4AAE4B0.jpg
294,amazingnature33,908318918313369601,21,48,"Hilton Head Island,South Carolina https://t.co/WEyYMV7lLO",https://pbs.twimg.com/media/DJosyYBWsAAJW8p.jpg
295,amazingnature33,908273621273124864,8,42,"Starcross, Devon, England sunset https://t.co/IfXMWCNqmt",https://pbs.twimg.com/media/DJosuXqW0AU09Nm.jpg
296,amazingnature33,908273370222829568,20,66,"Glacier sunset, Iceland https://t.co/jWdkoVY5z1",https://pbs.twimg.com/media/DJosqs_XkAAg1TJ.jpg
297,amazingnature33,908228070238191617,10,18,"Cherry Blossom River, Sakura, Japan https://t.co/V8I0XGE6ZS",https://pbs.twimg.com/media/DJosmw8XUAEh-YH.jpg
298,amazingnature33,908197873870917633,7,16,Blue Mosque of Istanbul in a misty night https://t.co/3bOKcPyEtp,https://pbs.twimg.com/media/DJosjXnW4AEKyFt.jpg
299,amazingnature33,907907709680455680,31,57,Coast of Costa Rica https://t.co/YbqZB9ZkpG,https://pbs.twimg.com/media/DJjf687X0Aged8m.jpg
300,amazingnature33,907862160453255170,15,34,Portugal  Please rate this picture from 1 to 10 https://t.co/BbSKNc0M6i,https://pbs.twimg.com/media/DJjf1tgXoAE6fWV.jpg
301,amazingnature33,907831962227888128,9,21,"Engelberg, Switzerland https://t.co/g85c1Zuitm",https://pbs.twimg.com/media/DJjfvXGW4AEFUnS.jpg
302,amazingnature33,907801509294993409,26,63,Norway https://t.co/lelPI81zpy,https://pbs.twimg.com/media/DJjfpMCX0AAvUx6.jpg
303,amazingnature33,907771310671048704,6,11,"Matterhorn, Switzerland https://t.co/AgXjXHHooK",https://pbs.twimg.com/media/DJjfiW_WAAgM9ge.jpg
304,amazingnature33,907740861168984065,20,35,"Campobasso, Italy https://t.co/dDgWqSYKK0",https://pbs.twimg.com/media/DJjfV_mXcAY7Odq.jpg
305,amazingnature33,907720839684083713,3,14,"Stormy Skies over Mt. Moran, Grand Teton National Park, Wyoming https://t.co/txPTfTf4S3",https://pbs.twimg.com/media/DJjfRjGX0AArcki.jpg
306,amazingnature33,907660580797915136,12,49,Beautiful Paris https://t.co/ven4JT7j8M,https://pbs.twimg.com/media/DJeDsiaXcAEIIHM.jpg
307,amazingnature33,907630382169784320,6,27,"Beautiful Bali, Indonesia https://t.co/TFAmJIhXGS",https://pbs.twimg.com/media/DJeDj3_XcAIvX3V.jpg
308,amazingnature33,907599932554592257,10,28,Hanalei Bay Princeville Kauai Hawaii https://t.co/dzIXi6VuWA,https://pbs.twimg.com/media/DJeDfQTXoAAR4DH.jpg
309,amazingnature33,907569734475845632,33,99,"Jacracanda Street, Sydney, Australia https://t.co/eJZfXAFXeK",https://pbs.twimg.com/media/DJeDZq4XcAA7DRW.jpg
310,amazingnature33,907539534807687168,11,29,"Beautiful cherry trees, Kyoto, Japan. https://t.co/Nxzwp6Qfyw",https://pbs.twimg.com/media/DJeDUUGW4AM58eD.jpg
311,amazingnature33,907509082663280640,8,28,"Watkins Glen State Park, New York https://t.co/owGbxFd41Z",https://pbs.twimg.com/media/DJeDOJuXoAAJWkR.jpg
312,amazingnature33,907478883343257600,11,29,"Peaks Valley, Moraine Lake, Alberta, Canada https://t.co/oIAX2UdhkM",https://pbs.twimg.com/media/DJeDIXyXcAE7YoS.jpg
313,amazingnature33,907448433664864257,62,141,"The Pont dArc is a large natural bridge, located in the Ardèche département in the south of France https://t.co/pprcS0gveN",https://pbs.twimg.com/media/DJeDDOrW0AAhxYH.jpg
314,amazingnature33,907418234890022912,22,50,"Lac de Sils, Switzerland https://t.co/G0COqkGS2H",https://pbs.twimg.com/media/DJeC_XFXkAAoa8X.jpg
315,amazingnature33,907388035611885569,12,26,"Sunrise at Jökulsárlón beach, South Coast, Iceland https://t.co/ZtL1opT9dl",https://pbs.twimg.com/media/DJeC5DlW0AAjOwn.jpg
316,amazingnature33,907339088600211461,39,87,Norway https://t.co/Z2nnLZUUcI,https://pbs.twimg.com/media/DJeEFBHWAAIbqm3.jpg
317,amazingnature33,907279318983651328,33,80,Golden rays in the Schwarzwald - Black Forest of Germany https://t.co/fzAqrH9toR,https://pbs.twimg.com/media/DJZES3VX0AEyzyL.jpg
318,amazingnature33,907233769605795840,15,34,"For Whom the Bells Toll, Maroon Creek, near Aspen, Colorado https://t.co/LNCAlWa0eu",https://pbs.twimg.com/media/DJZEKZ3XUAAhbYx.jpg
319,amazingnature33,907188470098956288,13,34,"Stirling Falls, Milford Sound, New Zealand https://t.co/IH4UbkP7pp",https://pbs.twimg.com/media/DJZEDCiWAAEiQts.jpg
320,amazingnature33,907142919496204289,25,41,"Triple Falls in Glacier National Park, Montana https://t.co/wTjAiapOnt",https://pbs.twimg.com/media/DJZD-poXUAAGidD.jpg
321,amazingnature33,907097620589543424,22,34,"The water spirals of Elakala Waterfalls, Blackwater Falls State Park, West Virginia, USA https://t.co/vTnTdmRpCx",https://pbs.twimg.com/media/DJZD66yXoAEnEDZ.jpg
322,amazingnature33,907052324115316736,18,31,"Lower Yellowstone River Falls, Yellowstone National Park https://t.co/zBrT5uoUx4",https://pbs.twimg.com/media/DJZD16tW4AEQLS4.jpg
323,amazingnature33,907021871832584192,26,79,"North Shore, Oahu, Hawaii https://t.co/U7NfGbEhdq",https://pbs.twimg.com/media/DJZDwsmWAAApYux.jpg
324,amazingnature33,906986798177570816,23,49,"Silver Creek State Park, Oregon https://t.co/0rvD2CK7qY",https://pbs.twimg.com/media/DJZDq-WW4AcXt3e.jpg
325,amazingnature33,906919196080132096,19,28,"Yosemite National Park, California   Please rate this picture from 1 to 10 https://t.co/82gee7EOQq",https://pbs.twimg.com/media/DJTvJG1X0AEYuJQ.jpg
326,amazingnature33,906873898888654848,24,45,Beautiful Sunset  Please rate this picture from 1 to 10 https://t.co/gw4LHPXkji,https://pbs.twimg.com/media/DJTu_qcX0AALCOi.jpg
327,amazingnature33,906828346906087424,14,41,"Moon Lit Evening, Positano, Italy   Please rate this picture from 1 to 10 https://t.co/g8wLarH1gc",https://pbs.twimg.com/media/DJTu599XgAIR5TP.jpg
328,amazingnature33,906782797683056640,16,35,Full moon at Sierra Nevada Mountains in Sequoia National Park   Please rate this picture from 1 to 10 https://t.co/M6uolwlFdt,https://pbs.twimg.com/media/DJTuvZtXoAADfDJ.jpg
329,amazingnature33,906737498713341952,7,28,"Corkscrew Falls, Logan, Ohio   Please rate this picture from 1 to 10 https://t.co/oUwUDCMgiT",https://pbs.twimg.com/media/DJTuqwZXoAAekx7.jpg
330,amazingnature33,906692199714140161,10,16,"Bayview Farm and Garden. South Whidbey Island, Langley, Washington   Please rate this picture from 1 to 10 https://t.co/wrMSu0WXJR",https://pbs.twimg.com/media/DJTulZBW0AAFnAU.jpg
331,amazingnature33,906646649430142976,22,47,Please rate this picture from 1 to 10 https://t.co/9RF3eHmLkS,https://pbs.twimg.com/media/DJTua4zXgAAQL_q.jpg
332,amazingnature33,906627783572512768,11,21,"Pacific Ocean, Olympic National Park, Washington State  Please rate this picture from 1 to 10 https://t.co/twdZBfw1x8",https://pbs.twimg.com/media/DJT9JuuWAAExgXM.jpg
333,amazingnature33,906611483001454593,7,18,Please rate this picture from 1 to 10 https://t.co/4MAb1097mi,https://pbs.twimg.com/media/DJTuUtXW0AAZ3VJ.jpg
334,amazingnature33,906560078957776896,14,41,Just Beautiful  Please rate this picture from 1 to 10 https://t.co/eZEcQXRNv2,https://pbs.twimg.com/media/DJPD1FoWsAAMuZH.jpg
335,amazingnature33,906514529458077702,11,40,"Frankenwald, Germany  Please rate this picture from 1 to 10 https://t.co/DESPDvonms",https://pbs.twimg.com/media/DJPDx04W0AAsLzI.jpg
336,amazingnature33,906469230333140994,14,34,"Boulder, Colorado  Please rate this picture from 1 to 10 https://t.co/wlq5bi7Hbg",https://pbs.twimg.com/media/DJPDtivXgAIMh9D.jpg
337,amazingnature33,906423931757719553,11,26,"Cherry Blossom River, Kyoto, Japan  Please rate this picture from 1 to 10 https://t.co/5OYMmY0zSx",https://pbs.twimg.com/media/DJPDpDfXgAAiNGu.jpg
338,amazingnature33,906378383293956096,10,27,"Lake Como, Italy  Please rate this picture from 1 to 10 https://t.co/SFVBWwpjOi",https://pbs.twimg.com/media/DJPDkTcWsAAKhaS.jpg
339,amazingnature33,906333084823334912,12,25,"Soldiers Beach, Australia  Please rate this picture from 1 to 10 https://t.co/yX1OLWBZgB",https://pbs.twimg.com/media/DJPDf0_WsAAERlk.jpg
340,amazingnature33,906282870574129152,5,16,The beautiful Assiniboine Mountains - Canada  Please rate this picture from 1 to 10 https://t.co/yAUrc8lQxt,https://pbs.twimg.com/media/DJPDcLUXoAU1fWJ.jpg
341,amazingnature33,906185864580960256,13,37,Just Beautiful  Please rate this picture from 1 to 10 https://t.co/s04qliXhTE,https://pbs.twimg.com/media/DJJhyUxW4AAKG34.jpg
342,amazingnature33,906140315190472704,6,16,"Frankenwald, Germany  Please rate this picture from 1 to 10 https://t.co/RfVUwmyohI",https://pbs.twimg.com/media/DJJhqirW0AMmoZX.jpg
343,amazingnature33,906095015692292096,6,13,"Cherry Blossom River, Kyoto, Japan  Please rate this picture from 1 to 10 https://t.co/oBGJeud9MF",https://pbs.twimg.com/media/DJJhi2NXcAEBsZn.jpg
344,amazingnature33,906049466062405632,4,11,"Lake Como, Italy  Please rate this picture from 1 to 10 https://t.co/6TRmWUlyfh",https://pbs.twimg.com/media/DJJhYiCW4AQMU7t.jpg
345,amazingnature33,906004171316269057,7,16,"Soldiers Beach, Australia  Please rate this picture from 1 to 10 https://t.co/HUW81dh69c",https://pbs.twimg.com/media/DJJhStTXcAE0GZI.jpg
346,amazingnature33,905943516089638915,18,24,The beautiful Assiniboine Mountains - Canada  Please rate this picture from 1 to 10 https://t.co/6ySXfE0COZ,https://pbs.twimg.com/media/DJJhON6XYAEWksh.jpg
347,amazingnature33,905913317411000320,15,37,"River House, Devon, England  Please rate this picture from 1 to 10 https://t.co/el5xEMMeek",https://pbs.twimg.com/media/DJJhHVmXYAElz8h.jpg
348,amazingnature33,905893162119557121,10,23,"Tree Tunnel, Vienna, Austria  PLease rate this picture from 1 to 10 https://t.co/M56OIEcfQV",https://pbs.twimg.com/media/DJJgxaxW4AAr6gs.jpg
349,amazingnature33,905831278800510978,13,23,Beautiful Moon  Please rate this picture from 1 to 10 https://t.co/eH6Z1ruE8g,https://pbs.twimg.com/media/DJEtHQBW0AMWTg_.jpg
